date,station_id,station_name,latitude,longitude,PM2.5,PM10,NO2,SO2,CO,O3,AOD,col_NO2,col_SO2,col_CO,col_O3,col_HCHO,t2m,r2,blh,u10,v10,AOD_lag1,col_HCHO_lag1,day_of_year,month
2025-10-02,STN01,Delhi (RK Puram),28.56,77.18,56.15,108.08,49.57,3.91,1.59,3719.65,0.14174487159474797,1.8024390967440994e-05,1.641621181055357e-07,0.08170295586647712,3.089008749905733,0.00017049387708551855,294.24156357258306,59.701061972834054,1044.7155801260008,2.378729745603533,-1.912330451217744,0.11609099631078024,0.00018123964132187018,275,10
2025-10-03,STN01,Delhi (RK Puram),28.56,77.18,39.74,96.49,58.41,1.0,2.13,4112.86,0.13905637811349564,1.8942179032425193e-05,2.010032860153196e-07,0.07590749349150544,3.4280726510084705,0.0001801651091991914,296.0334285932515,68.36161484487657,1008.9177795538282,1.6868792483859356,-1.7087137989852725,0.14174487159474797,0.00017049387708551855,276,10
2025-10-04,STN01,Delhi (RK Puram),28.56,77.18,33.79,109.15,62.75,1.0,1.89,4027.99,0.13212693091755848,1.8977201427138374e-05,1.497231877810329e-07,0.08375347414971984,3.353554617619138,0.0001759776746014191,295.28533699817376,65.13239364184759,1007.8689556191277,2.0820026383658914,-2.2244414908665613,0.13905637811349564,0.0001801651091991914,277,10
2025-10-05,STN01,Delhi (RK Puram),28.56,77.18,39.18,105.2,48.44,1.0,1.61,4022.89,0.1435291201326811,1.7854502057316946e-05,2.3770117002169413e-07,0.07363773448561038,3.346586746822831,0.00018627417214064101,297.3489413804653,63.5690177748416,1052.6394142298054,1.5506551538840843,-3.0972244001523657,0.13212693091755848,0.0001759776746014191,278,10
2025-10-06,STN01,Delhi (RK Puram),28.56,77.18,52.58,76.79,59.68,2.07,2.37,4135.75,0.15475586571045624,2.0736938596144833e-05,2.17327003573018e-07,0.09034101361867844,3.4499120116929403,0.0001658862784622487,293.48458372098696,69.09536179737371,921.3435729423312,1.8959108757177532,-1.8801282846052465,0.1435291201326811,0.00018627417214064101,279,10
2025-10-07,STN01,Delhi (RK Puram),28.56,77.18,50.8,113.23,62.48,1.0,1.98,4384.85,0.17626602501171282,1.981335307311737e-05,2.419796582449625e-07,0.08917605183585431,3.648236050411938,0.000183393876868573,296.51223277542715,58.90200031034696,962.3592957044815,2.3866983538711075,-3.5381503765464517,0.15475586571045624,0.0001658862784622487,280,10
2025-10-08,STN01,Delhi (RK Puram),28.56,77.18,54.03,99.84,58.65,1.0,2.3,4567.97,0.19024764011356401,2.162246087391755e-05,2.120103290254429e-07,0.0883730958331686,3.805628942893298,0.00017556353852210164,295.00020982844427,66.38059875570302,872.59479248787,2.277833311493954,-2.9177900045285403,0.17626602501171282,0.000183393876868573,281,10
2025-10-09,STN01,Delhi (RK Puram),28.56,77.18,35.98,98.19,55.68,1.0,1.71,4342.03,0.13306231096172208,1.924816485783049e-05,1.909907528961037e-07,0.0727900780535473,3.609695111618,0.00018683687715544638,297.4543242711413,64.9367533753712,1001.1254547371288,1.310304295594245,-3.0420599722739947,0.19024764011356401,0.00017556353852210164,282,10
2025-10-10,STN01,Delhi (RK Puram),28.56,77.18,46.39,113.78,68.27,1.0,2.0,4226.43,0.1543355122421211,2.075893497001342e-05,1.6863029080098664e-07,0.08670400490561893,3.514899569404778,0.00016874861433385332,293.7089547910008,63.991292844205304,913.4064484678721,0.9778871527896746,-2.222951085595417,0.13306231096172208,0.00018683687715544638,283,10
2025-10-11,STN01,Delhi (RK Puram),28.56,77.18,48.97,113.94,62.48,1.0,2.03,4049.62,0.1454504594277074,1.9834560063706583e-05,1.708888254402012e-07,0.08652030857213162,3.377304706074789,0.00016974526066156512,293.8434585473225,73.16397260604589,943.9189403084898,1.8107713699876957,-2.364836713865983,0.1543355122421211,0.00016874861433385332,284,10
